nA,nB,Nu,NM,purity,thirdM
5,1,1,1,0.891395515243129,1.8833796855127618
5,1,1,2,0.5646665013330023,0.8906886837472102
5,1,1,5,0.39493143424298083,0.4769908553054044
5,1,1,10,0.34259056086755324,0.37338597480907254
5,1,1,20,0.31873000149892444,0.33557449117576066
5,1,1,50,0.305031023587542,0.3091432193699451
5,1,1,100,0.2998311242962276,0.2980072430355551
6,1,1,1,0.462090817781639,1.065475549885566
6,1,1,2,0.28737313802383524,0.48250599238921815
6,1,1,5,0.20667236030476038,0.2853638981245193
6,1,1,10,0.1807054097898269,0.23354200048153853
6,1,1,20,0.17012584617516602,0.2147348890091529
6,1,1,50,0.16332313474731694,0.1962843411393487
6,1,1,100,0.16148211691230702,0.19124790337774394
7,1,1,1,0.24621791003460344,0.5663144543257538
7,1,1,2,0.15344554019017986,0.26017870599040416
7,1,1,5,0.10953570628930406,0.15209289011147079
7,1,1,10,0.09654409529232781,0.12371979184660174
7,1,1,20,0.08939395312462023,0.10888038752266482
7,1,1,50,0.08564801310238464,0.10097277806988296
7,1,1,100,0.08451530326606396,0.0988915140921172
8,1,1,1,0.12370064606063728,0.30269472360466476
8,1,1,2,0.07776817269277789,0.14450749605541702
8,1,1,5,0.054953626232403976,0.08265768203123124
8,1,1,10,0.048318463941508925,0.06686813453348293
8,1,1,20,0.04506102993986267,0.061222330042131304
8,1,1,50,0.04337180639662599,0.05673203862910985
8,1,1,100,0.04271624781240162,0.05558607597121218
9,1,1,1,0.061577544052768086,0.15636708206947222
9,1,1,2,0.0396350610434946,0.07345912234557399
9,1,1,5,0.028264077890225208,0.04199640302437007
9,1,1,10,0.024695628854020112,0.03387367180758597
9,1,1,20,0.023083244498895247,0.03025660384417942
9,1,1,50,0.02207216177123672,0.028433955937808224
9,1,1,100,0.021725909429470374,0.027952528168683467
10,1,1,1,0.030965650257541017,0.0739106609206128
10,1,1,2,0.019366649456363873,0.03573467940785888
10,1,1,5,0.013823803514787424,0.020565926556506898
10,1,1,10,0.012139550926891363,0.016775086803888773
10,1,1,20,0.011324145074177538,0.015093040059504537
10,1,1,50,0.010791468354434203,0.014155078511840434
10,1,1,100,0.01062682026936695,0.013837619921542347
11,1,1,1,0.015522090425651013,0.03704631517664862
11,1,1,2,0.009807856249942576,0.01795779243305872
11,1,1,5,0.006942229046267282,0.010638269852308778
11,1,1,10,0.006083622319300619,0.008666931580507737
11,1,1,20,0.005646507778806709,0.007812288891182653
11,1,1,50,0.005430858643951857,0.007347446889592895
11,1,1,100,0.0053533045212037595,0.007180570036353467
9,1,5,1,0.01230255939778055,0.03007273516850566
9,1,5,2,0.007833696128283768,0.014617738377378729
9,1,5,5,0.005587370779082019,0.008293211184884188
9,1,5,10,0.00486900277215816,0.006782991989551593
9,1,5,20,0.004551255196137939,0.006100529288711008
9,1,5,50,0.004375200061277452,0.00566040942111393
9,1,5,100,0.0043168548231742225,0.00554019492637265
9,1,10,1,0.006231699589786804,0.014875238077777055
9,1,10,2,0.003909180707692635,0.007362594522312345
9,1,10,5,0.002819115806574378,0.004291680187471274
9,1,10,10,0.002466676735520425,0.0034690943573108335
9,1,10,20,0.0023123559726716592,0.0030711814233852774
9,1,10,50,0.0022366043681778416,0.0028740240485326304
9,1,10,100,0.002209965492853028,0.0028175419157232926
9,1,20,1,0.0031046335476608788,0.007334245891600622
9,1,20,2,0.0019377876949574575,0.0036025112571866293
9,1,20,5,0.0014051746486796423,0.0021022775350983697
9,1,20,10,0.0012464166026324784,0.0017222799616975078
9,1,20,20,0.001158281208134206,0.0015504440302326723
9,1,20,50,0.0011085796810446484,0.0014558354557713694
9,1,20,100,0.001093058017567147,0.0014254534005714986
9,1,100,1,0.0006301856510044175,0.001532555149541201
9,1,100,2,0.0003975970943334815,0.0007551521249108831
9,1,100,5,0.0002817184058457287,0.00045108741074571535
9,1,100,10,0.00025015334719566065,0.00037333756344904356
9,1,100,20,0.00023368354533536567,0.00033405296981700794
9,1,100,50,0.00022466287678147223,0.0003156961400015168
9,1,100,100,0.00022153909640126136,0.0003089857149705368
